month_key,year,month,tag_id,question_count,answered_count,unanswered_rate,mom_delta,mom_growth
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-01,2017,1,-9125629845961598163,2,2,0.0,,
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-02,2017,2,-9125629845961598163,3,3,0.0,1,0.5
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
2017-03,2017,3,-9125629845961598163,5,3,0.4,2,0.6666666666666666
